
	1	У хворої після підняття важкої сумки раптово з’явився гострий біль у попереку. Рухи в хребті обмежені. Не викликається ахілловий рефлекс зліва, з’явилась анестезія больової чутливості на зовнішній поверхні лівої гомілки. Яке захворювання запідозрите?


 	454	У морі втопився чоловік 54 років, якого вдалося знайти і евакуювати на берег. Об’єктивно: свідомість відсутня. Обличчя бліде, дихання не прослуховується, пульс ниткоподібний. Після проведення реанімаційних заходів хворого вдалося врятувати. Яке ускладнення може розвинутись найближчим часом?
A	*Набряк легень
B	Зупинка дихання
C	Енцефалопатія
D	Зупинка серця
E	Бронхоспазм


 	455	Пацієнт 58-ми років, працював вантажником, періодично скаржится на печію, регургітацію, пекучий біль в нижній частині грудини, здуття живота. 2 тижні тому після фізичного навантаження появилось відчуття стороннього тіла і посиленого тиску в животі  в положенні лежачи, а також при нахилах і після їди. Ваш попередній діагноз?
A	* Кила стравохідного отвору діафрагми
B	Дивертикул стравоходу
C	Рефлюкс-езофагіт
D	Дискінезія стравоходу
E	Ахалазія стравоходу


 	456	Пацієнт Д. 35 років скаржиться на задишку, серцебиття при незначному навантаженні, набряки на ногах, важкість в правому підребер’ї. Хворіє протягом року, приймає фуросемід, молсидомін, каптоприл. В анамнезі у 26 років переніс вірусний міокардит. Об’єктивно: ознаки серцевої недостатності,  пульс – аритмічний 96/хв; на ЕКГ – миготлива аритмія. Які   методи дослідження є найбільш інформативними для визначення функції міокарда?
A	*Ехокардіографія
B	Електрокардіографія
C	Коронарографія
D	Холтерівський моніторинг
E	Велоергометрія


 	457	Хворий Л., 72 років звернувся до лікаря зі скаргами на головний біль, головокружіння. Об'єктивно: Пульс 54 уд за 1 хв, АТ 160/100 мм рт. ст. На основі клініко-лабораторних та інструментальних даних у хворого діагностовано м'яку артеріальну гіпертензію без ускладнень. Якому препарату в якості монотерапії доцільно надати перевагу?
A	*амлодипін
B	метопролол
C	фуросемід
D	молсидомін
E	верепаміл


 	458	Хворий  С. 51 р., скаржиться на блювання з домішками крові,. Зловживав алкоголем. Хворіє з 40 років, коли вперше виникла жовтяниця. При огляді: шкіра та видимі слизові жовтушні, “судинні зірочки”. Зниженого живлення. Живіт збільшений в об’ємі, пупочна кила,  асцит. Край печінки гострий, неболючий, + 3 см в, селезінка + 2 см.. Ан. крові: Hb – 80 г/л, лейк. - 3·109/г, тромбоц. - 85·109/г.  Причиною портальної гіпертензії у хворого є:
A	*Цироз печінки
B	Тромбоз вени селезінки
C	Гемохроматоз
D	Констриктисний перикардит
E	Синдром Бадда-Кіарі


 	459	Хвора 40 років скаржиться на головний біль, спрагу, м’язову слабкість, затерпання рук і ніг, почащене сечовипускання вночі. Об’єктивно: АТ – 190/ 100 мм рт. ст. В аналізі крові: калій – 3,0 ммоль/л, натрій – 150 ммоль/л. В аналізі сечі: білок – 0,73 г/л, питома густина – 1,003-1,008.Чим зумовлені клінічні прояви захворювання?
A	* Гіперальдостеронізмом
B	Хронічний пієлонефритом
C	Гіпертонічною хворобою .
D	Гіперкортицизмом
E	Підвищеним рівнем катехоломінів


 	460	Хворий С. 30 років, лікувався з приводу пневмонії антибіотиками. Через  тиждень появився головний біль, відсутність апетиту,стілець до 10-15 разів на добу, переважно вранці, з виділенням рідких випорожнень та слизу, що супроводжуються переймоподібним болем в животі. Об’єктивно: живіт здутий, чутливий при пальпації по ходу товстої кишки. Колоноскопія: слизова оболонка гіперемована, набрякла, вкрита слизом, місцями кишка спазмована. Вкажіть попередній діагноз.
A	*Псевдомембранозний коліт
B	Синдром подразненої товстої кишки
C	Неспецифічний виразковий коліт
D	Хвороба Крона
E	Дизентерія


 	461	Хворий М,  65 років страждає на ІХС, стабільну стенокардію напруження ІІ функціональний клас. Регулярно приймає аспірин, нітросорбід, анаприлін. На цьому фоні з(явилися ознаки декомпенсації кровообігу (набряки на ногах) Які медикаменти варто додати до лікування?
A	*Інгібітори ангіотензин перетворюючого ферменту
B	Антагоністи кальцію
C	Серцеві глікозиди
D	Статини
E	Сечогінні  тіозидового ряду


 	462	У пацієнта  віком 15 років на підставі виявленого при аускультації інтервального систолічного шуму в точці Боткіна запідозрили пролапс мітрального клапана. Який з додаткових методів діагностики є найбільш інформативним для встановлення діагнозу?
A	*Ехокардіоскопія
B	Фонокардіографія
C	Рентгенографія
D	Електрокардіографія
E	Реографія


 	463	Хворий С., 47 років, скаржиться на набряк гомілок та ступнів, задишку, серцебиття під час  фізичного навантаження. З анамнезу слідує, що напередодні переніс застудне захворювання. Об’єктивно: АТ – 100/60 мм рт.ст., пульс – 90 уд/хв, ритмічний. Діяльність серця ритмічна, тони послаблені. Над легенями дихання везикулярне, хрипів немає. Живіт м’який, печінка на 4 см нижче реберного краю. Яка причина виникнення периферичних набряків?
A	* Міокардит
B	Гострий гломерулонефрит.
C	Міокардиодистрофія.
D	Тромбофлебіт глибоких вен.
E	Порушення функції щитовидної залози.


 	464	Хворий К., 60 років, тривалий час страждає на туберкульоз. В теперішній час посилилась задишка, набряки нижніх кінцівок. Об-но:  ціаноз; здуття шийних вен на вдиху та видиху; епігастральна пульсація. Ч.Д.Р. – 28 за 1 хв. Дихання послаблене, везикулярне, розсіяні сухі хрипи. На легеневій артерії – акцент ІІ тону. На рентгенограмі: діаметр легеневої артерії 18 мм. Для  якої патології ці зміни є характерними?
A	* Легенева гіпертензія
B	Емфізема легенів.
C	Вторинний аміолоїдлз нирок
D	ТЕЛА дрібних гілок.
E	Констриктивний перикардит


 	465	Хворий Д., 19 років, з дитинства страждає на підвищену кровоточивість. Після незначних травм виникають масивні підшкірні та внутрішньом’язові гематоми (ін’єкції, удари). Мати та сестра – здорові.Фібріноген крові - 4,0 г/л., тромбоцити крові - 180 Г/л  Про яке захворювання можна думати у цьому випадку?
A	* Гемофілія А.
B	Тромбоцитопенія.
C	Тромбоцитопатія
D	Афібріногенемія.
E	Геморагічний васкуліт.


 	466	Хворий М., 18 років, страждає на підвищену кровоточивість після незначних травм з раннього дитячого віку. Молодший брат також страждає на підвищену кровоточивість з випадками гемартрозу. Які з лабораторних досліджень є інформативними для уточнення діагнозу?
A	* Термін зсідання крові,.
B	Рівень фібріногену
C	Ретракція кров’яного згустку.
D	Кількість тромбоцитів.
E	Визначення протромбінового терміну.


 	467	Хвора З., 50 років, страждає на хронічний бронхіт. В останній час відмічає посилену задишку, набряк гомілок та ступнів, тяжкість у правому підребер’ї. Об’єктивно: відмічається акроціаноз, набряк шийних вен на вдиху та видиху, розсіяні сухі хрипи. Межі серця розширені праворуч на 1,5 см. Тони серця приглушені, акцент ІІ тону над легеневою артерією. Печінка нижче реберного краю на 4 см. Для якої патології є характерними ці ознаки?
A	* Легеневе серце.
B	Ішемічна хвороба серця з розвитком серцевої недостатності.
C	Перикардит
D	Недостатність тристулкового клапану.
E	Емфізема легенів.


 	468	Хворий М., 48 років, скаржиться на виражену задишку на протязі двох тижнів. З анамнезу слідує, що пацієнт багато палив. Об’єктивно: праворуч, нижче кута лопатки, голосове тремтіння відсутнє. Перкутований звук тупий. Над цією ділянкою дихальні шуми не прослуховуються. Бронхофонія не визначається. Про який синдром слід думати у цьому випадку?
A	* Обтураційний ателектаз.
B	Компресійний ателектаз.
C	Порожнина у правій легені.
D	Копичення рідини у плевральній порожнині.
E	Синдром ущільнення у легеневій тканині.


 	469	Хворий н., 42 роки, поступив у приймальне відділення міської лікарні зі скаргами на раптовий різкий біль у правій половині грудної клітки, задишку  у спокої. Скарги, які вказані, з’явились після фізичного навантаження. Об’єктивно: права половина грудної клітини відстає у акті дихання. ЧДР – 28 в 1 хв. Голосове тремтіння праворуч, нижче ІІІ ребра, не проводиться, під час перкусії над цією ділянкою визначається тимпанічний звук,  дихання не проводиться. Про який патологічний синдром слід думати?
A	* Спонтанний пневмоторакс.
B	Синдром наявності порожнини у легенях.
C	Синдром підвищеної повітряності легеневої тканини.
D	Гідроторакс.
E	Синдром ущільнення легеневої тканини.


 	470	До лікаря звернулася жінка зі скаргами на ви-никнення  болісних висипань на спині. Хвороба почалася раптово три дні тому на тлі нездужан-ня, головної болі, гарячки.. Об’єктивно : на гіпе-ремійованій шкірі за ходом 5-7 міжреберних нервів розташовані групи  тісно скупчених пу-хирців із серозно-каламутним вмістом, деякі вкрити кірками. Ваш діагноз ?
A	* Оперізуючий лишай
B	Екзема
C	Стрептококове імпетиго
D	Простий герпес
E	Вітряна віспа


 	471	До лікаря звернувся хворий зі скаргами на різко болісну висипку на обличчі. Об’єктивно : на лівої жоці знаходиться великий болісний синьошно-червоний вузол розміром з волоський горіх, з набряком навколишніх тканин та некротичним стрижнем усередині. Ваш попередній діагноз ?
A	* Фурункул
B	Карбункул
C	Псевдофурункульоз
D	Вугрова висипка
E	Вульгарний вовчак


 	472	До дерматолога звернулася мати з дівчинкою 6 років. Дитина хворіє 5 днів. У дитини на тлі нежиті з’явилася велика кількість гнійної висипки. Об’єктивно на шкірі обличчя: численні фліктени, наповнені серозно-гнійним вмістом, на деяких сформовані золотисто-жовті кірки. Ваш діагноз ?
A	* Стрептококове імпетиго
B	Токсико-алергічний дерматит
C	Дитяча екзема
D	Атопічний дерматит
E	Фотодерматит


 	473	Хворий 28 років. Скарги на періодичні стискаючі болі у серці. Брат хворого помер у 34	роки  від захворювання серця з аналогічними проявами. Об’єктивно: шкіра  бліда. Межі серця суттєво не зміщені. Тони серця гучні,  над усіма  точками вислуховується систолічний шум з максимумом над аортою. При ЭхоКС – потовщення міжшлуночкової перетинки у базальних відділах, зменшення порожнини лівого шлуночка. Засобом профілактики прогресування захворювання являється:
A	* Метопралол;
B	Дігоксин;
C	Нітрогліцерин;
D	Каптоприл;
E	Фуросемід.


 	474	Хворий 48 років, страждає на ІХС: стенокардію навантаження,  П ФК. Лікарською комісією рекомендовано провести обстеження для визначення коронарного резерву.  Найбільш надійним способом є:
A	* Велоергометрія;
B	Холтеровське моніторування.
C	Тетраполярна реографія;
D	Коронарографія;
E	Ехокардіографія


 	475	Хворий 25 років, знаходиться на диспансерному обліку з приводу аортальної вади серця. Клінічно виявляється: блідість шкіри, збільшення серця вліво, пульсація великих судин, діастолічний шум над аортою, ослаблення I тону над верхівкою. Як характеризується пульс при цій ваді?
A	*Швидкий, , високий;
B	Повільний і м'який;
C	Малий і м'який;
D	Рідкий, малий
E	Нитковидний.


 	476	До дерматолога звернувся дояр зі скаргами на появу болісних утворень на волосистій частині голови. Хворіє декілька тижнів. Об’єктивно : на шкіри голови два щільних заокруглених вогни-ща за типом фолікулярних абсцесів - позитивний симптом “медових  стільників”. Ваш діагноз?
A	* Глибока трихофітія
B	Вульгарний сикоз
C	Глибока піодермія
D	Інфільтративна форма мікроспорії
E	Фурункул


 	477	До лікаря звернувся хворий, 32 років, зі скарга-ми на біль у ділянці шиї. Хворіє 2 тижні. Має місто загальна нездуга. Об’єктивно : На задній поверхні шиї спостерігається щільний  запальний вузол розміром з волоський горіх, з набряком прилеглих тканин, на поверхні вузла, у центрі є наявність 5 некротичних стрижнів.Ваш діагноз ?
A	* Карбункул
B	Фурункул
C	Коліквативний туберкульоз
D	Вульгарна ектима
E	Лейшманіоз


 	478	Хворий 58 років страждає на цукровий діабет 2 типу. Доставлено в клініку у важкому стані, непритомний. Хворий у великих дозах приймав сечогінні препарати. Об'єктивно: стан важкий, запаху ацетону у повітрі яке видихається, немає. Шкіра суха, пульс - 120 у хв.,АТ - 80/40 мм рт.ст.,  глюкоза крови 52 ммоль/л, ацетон сечі + , рН-7,30; креатинин плазми-230 мкмоль/л. Який вид коматозного стану виник у хворого?
A	*Гіперосмолярна кома*
B	Кетоацидотична кома
C	Гіпоглікемічна кома
D	Молочнокисла кома
E	Уремічна кома


 	479	Хворий В., 35 років скаржиться на головний біль, епізодич-ні напади різкої слабкості м'язів, періодичну спрагу. Хворіє впродовж останніх 3-х років, коли вперше виявлено підвищення артеріального тиску. Об'єктивно: пульс 80 в хв., ритмічний, АТ - 200/110 мм рт.ст. Ан. сечі: питома вага - 1007, осад без змін. Натрій плазми крові - 150 ммоль/л, калій - 3 ммоль/л. Який препарат буде ефективним при лікуванні такої симптоматичної артеріальної гіпертензії у цього хворого?
A	*Верошпірон
B	Гіпотіазид
C	Атенолол
D	Верапаміл
E	Еналаприл


 	480	Хворий С., 44 років, скарги на стискаючі болі за грудиною, задишку, періодично запаморочення. При обстеженні виявлена гіпертрофічна обструктивна кардіоміопатія з діастолічним варіантом серцевої недостатності. Яким лікарським засобам треба віддати перевагу?
A	*Бета-адреноблокаторам;
B	Нітратам;
C	Ингібіторам АПФ;
D	Діуретикам;
E	Серцевим глікозидам


 	481	У хворого гіпертонічною хворобою поступово розвинулися ознаки серцевої недостатності: задишка, вологі хрипи у легенях, збільшення печінки. Яке інструментальне  дослідження має більшу діагностичну цінність для встановлення варіанту дисфункції міокарда?
A	* Ехокардіографія;
B	Електрокардіографія;
C	Коронарографія;
D	Тетраполярна реографія;
E	Фонокардіографія.


 	482	Хвора 30 років страждає ревматичною вадою серця. Під час огляду- зміщення правих меж серця праворуч, пульсація шийних вен, печінки, систолічний шум над мечоподібним відростком з посилнням на вдиху. Про яку ваду можна думати?
A	*Недостатність тристулкового клапана;
B	Стеноз тристулкового отвору;
C	Недостатність аортального клапану;
D	Стеноз устя аорти;
E	Стеноз мітрального отвору.


 	483	У хворого С., 38 років, в анамнезі перенесений інфекційний ендокардит. В даний час визначається посилений серцевий поштовх, виражений ціаноз, зсув правої межі серця вправо, позитивний венний пульс, систолічний шум над мечоподібним відростком, з посиленням на вдиху. Про формування якої вади серця варто думати?
A	*Недостатність тристулкового клапана;
B	Мітральний стеноз;
C	Аортальний стеноз;
D	Недостатність мітрального клапана;
E	Недостатність аортального клапана.


 	484	До лікаря звернувся хворий Ц., з  болісним та сверблячим висипом на ділянках бороди та  ву-сів із частими загостреннями. Хворіє протягом року. Об’єктивно : шкіра бороди та вусів синюшно-багряного кольору, потовщена, з пустулами, ерозіями, кірками на вологій  поверхні. З норицевих ходів, розташованих між рожево-червоними рихлими грануляціями, витікає гній, вигляд шкіри нагадує тутову ягоду. Ваш діагноз?
A	* Сикоз
B	Рожеві вугри
C	Червоний вочак
D	Глибока трихофітія
E	Туберкульозний вовчак


 	485	До дерматолога звернувся молодий чоловік зі скаргами на появу болісної висипки на шкірі об-личчя на ділянках бороди та вусів. Хворіє декілька тижнів, погіршання відчуває після гоління. Діагностовано сикоз. Якими первинними морфологічними елементами представлена висипка?
A	* Пустулами, папулами
B	Вузлами, вузликами
C	Пустулами, горбками
D	Фліктенами, плямами
E	Плямами, вузлами


 	486	У вагітної З., 27 років (вагітність ІІ, 8-10 тижнів), підвисилась температура. При обстеженні на TORCH-інфекції знайдено антитіла до вірусу звичайного герпесу І, ІІ типів у класі IgM.  Що слід порекомендувати вагітній?
A	*  Перервати вагітність
B	Продовжити нагляд
C	Лікування ацикловіром
D	Симптоматичне лікування
E	Обстеження на ?-фетопротеїн


 	487	Хворий 74-х років страждає на гіпертонічну хворобу біля 20-ти років. Скаржится на частий  головний біль, запаморочення, приймає енапріл. Об'єктивно: акцент II тона на аорті, Ps- 84/хв., ритмічний, АТ- 180/120 мм рт.ст. Яку групу гіпотензивних препаратів доцільно призначити додатково з урахуванням віку?
A	* Тазідні діуретики
B	Петлеві діуретики
C	Бета-адреноблокатори
D	Альфа-адреноблокатори
E	Центральні симпатолітики


 	488	У хворої  35 років під час диспасерного огляду АТ при вимірюванні вперше в житті  - 150/100 мм рт.ст.  Щоб ви їй порадили?
A	* Ще раз звернутися на обстеження
B	Сечогінні препарати
C	Седативніі засоби
D	Бета- адреноблокатори
E	Інгібитори АПФ


 	489	У хворого 60 рокiв вперше в житті діагностовано артеріальну гіпертензію. АТ 180/110 мм рт. ст.Індекс маси тіла - 30кг/м2. Загальний холестерин 5,5 ммлоль/ л Що є проявом високого ступеню ризику ускладнень у хворого?
A	* Рівень тиску
B	Давність хвороби
C	Вік
D	Рівень холестерину
E	Індекс маси тіла


 	490	Хворому на артеріальну гіпертензію 75 рокiв. АТ – 170/80 мм рт. ст. Для того, щоб досягти максимального ефекту від антигипертензивної терапії  у хворого такого віку, до якого рівня треба понизити тиск?
A	* < 140/90B	< 160/90C	Не знижати АТ при доброму самопочутті
D	Це за низький тиск для хворого такого віку
E	< 150/90

 	491	Хворому на артеріальну гіпертензію 75 рокiв. АТ 180/80 мм рт. ст. ЧСС 90 в хв. У нього також стенокардія напруги, Ш функціональний клас. Антигипертензивний препарат якого класу ви би призначили?
A	* Вета-блокатор
B	антагоніст Са
C	Інгібітор АПФ
D	Альфа-блокатор
E	Агоніст імідозалона


 	492	У хворого 60 років ІХС; серцева недостатність П Б ст. за класификацією Стражеска-Василенка. Задишка при незначних навантаженнях. Печінка виступає +2 см Набряки нижніх кінцівок. Задишки в стані спокою немає. Якому класу міжнародної Нью-йоркської (NYHA) класифікації серцевої це відповідає?
A	* NYHA Ш ст.
B	NYHA І ст.
C	NYHA П ст.
D	NYHA ІУ ст.
E	NYHA 0 ст.


 	493	У .хворого 60 років ІХС; серцева недостатність NYHA ІУ класу ,  що маніфестується задишкою в стані спокою. У хворого вологі хрипи в легенях. Печінка+ 4 см . Набряки нижніх кінцівок. Фракція викиду 25%. Що є найголовнішим в визначені класу NYHA?
A	* Ступінь задишки
B	Наявнність вологих хрипів в легенях
C	Наявність набрякгв нижніх кінцівок
D	Ступінь зниження фракціі викиду
E	Ступінь збільшення печінки


 	494	У хворого 54 років    стенокардія напруги П функциіонального класу. На ЕКГ повна блокада лівої ніжки пучка Гіса. Який тест є найбільш точним в обєктивізації ішемії у цього  хворого?
A	*  Радіонуклідний стрес-тест
B	ЕКГ стрес-тест
C	Ехо стрес-тест
D	Холтеровське моніторування
E	Тест з ергоновіном


 	495	При раптовій смерті за межами стациіонару шанс вижити не перевищує 10%. Тому, велике значення має її первинна профілактика. Призначення препарату якого з приведенних классів більш  ефективне в зниженні ризику раптовоі смерті у хворого з серцевою недостатністю?
A	*  В-блокатори
B	Серцеві глікозиди
C	Нітрати
D	Антагоністи Са
E	Сичогінні


 	496	Хворий К., 24 роки викликав лікаря додому в зв’язку з тим, що виникла виражена приступоподібна біль в лівій поперековій ділянці. В анамнезі ревматизм. Вже місяць як відчуває слабкість, пітливість, підвищену температуру, по-декуди вона сягає до 39-40оС з  лихоманкою. Об’єктивно: шкіра бліда з помірним жовтушним відтінком, є “синці”, тахікардія, над аортою систолічний і діастолічний шуми, які змінюють свою інтенсивність. Збільшена печінка і селезінка. Який попередній діагноз?
A	*  Інфекційний  ендокардит.
B	Лівобічна нижньодольова пневмонія.
C	Абсцес нирки
D	інфаркт нирки.
E	інфаркт селезінки


 	497	Хворий К., 18 років, скаржиться на загальну слабість, підвищення температури до 37,8оС, серцебиття, задуху під час ходьби, болі в колінних суглобах. Захворів місяць тому назад після  ангіни. Об’єктивно:. Пульс 98/хв., АТ 100/60 мм.рт.ст. Ліва межа серця на 0,5 см зовні від середньоключичної лінії. І тон на верхівці послаблений. Прослуховується ніжний систолічний шум. Лікар запідозрів ревматизм. Яка подальша тактика?
A	*Направити на стаціонарне обстеження та лікування.
B	Провести обстеження та лікування амбулаторно.
C	Виписати лікарняний лист і лікувати до нормальної tоС.
D	Направити на консультацію до ревматолога поліклініки.
E	Направити на консультацію до отоларінголога.


 	498	Хворий 54-х років скаржиться на постійний тупий біль у мезогастральній ділянці, втрату ваги, домішки темної крові в калі, закрепи. Протягом року втрата ваги до 10 кг. В крові: ер.- 3,5*1012/л, Hb- 87 г/л, лейк.- 12,6*109/л, паличко-ядерний зсув, ШЗЕ- 43 мм/год. Який найбільш вірогідний діагноз?
A	*Рак поперечно-ободової кишки
B	Виразкова хвороба шлунка
C	Хронічний коліт
D	Хронічнйий панкреатит
E	Рак шлунку


 	499	На прийом до кардіолога звернувся хворий С., 48 років, який знаходиться на диспансерному  обліку з приводу гіпертонічної хвороби. Два тижні тому йому було поступово відмінено прийом клофеліна (0,00015) та призначено каптопрес (25 мг  2 р/д). Через 3 дні з’явився сухий кашель. Протягом першого тижня відмічалося коливання АТ. Чим може бути зумовлена така симптоматика?
A	*Дією каптоприлу
B	Відміною клофеліну.
C	Хронічним бронхітом.
D	Дією гіпотіазиду.
E	Тютюнопалінням


 	500	Хворий Д., 55 років, після апенектомії, протягом 2-х днів скаржиться на прогресуючу задуху і кашель з гнійним харкотинням. Такі симптоми відмічаються в осінній та весняний  період. Палить 25 років. Температура -  37,1оС. В легенях – дихання послаблене з поодинокими сухими свистячими хрипами.  В крові - Л-10*109/л. Рентгенологічно — підвищена повітряність легень, посилений легеневий малюнок. Бронхоскопія: гіперемія слизової оболонки з наявністювиділень гнійно-слизового характеру. Який діагноз найбільш ймовірний?
A	*Хронічний бронхіт.
B	Бронхіальна астма.
C	Бронхоектатична хвороба.
D	Тромбоемболія легеневої артерії.
E	Пневмонія


 	501	Хворий 27 років, страждає виразковою хворобою 5 років. Останній місяць скаржився на біль в підложечній ділянці, який виникає через 1 годину після їжі, печію, закрепи. В останні  дні з’явилась загальна слабкість, головокружіння. , потемніння калу. Об’єктивно: блідість шкіри, обкладений язик, вологий. Пульс 86 ударів за хвилину, АТ 100/60 мм. рт. ст. Живіт м’який, незначно болючий в пілородуоденальній ділянці. Тактика дільничого лікаря?
A	*Госпіталізація в хірургічне відділення стаціонару.
B	Спостереження. Не призначати лікування.
C	Госпіталізація в терапевтичне відділення
D	Направлення на консультацію до гастроентеролога
E	Амбулаторне лікування.


 	502	Жінка 24 років скаржиться на постійний ниючий біль в ділянці серця, задишку при невеликому фізичному навантаженні, серцебиття, підвищення температури тіла до 37,2оС. Симптоми з’явились через 2 тижні після перенесеного грипу. Об’єктивно: границі серця  помірно зміщені вправо та вліво, I тон послаблений, короткий систолічний шум на верхівці. Над легенями везикулярне дихання. Який найбільш імовірний діагноз?
A	* Інфекційно-алергічний міокардит.
B	Ревматизм, недостатність мітрального клапану.
C	НЦД по кардіальному типу.
D	Гострий перикардит.
E	Пневмонія.


 	503	Хворий 35 років протягом 5 років скаржиться на запаморочення голови, біль здавлюючого  характеру в ділянці серця, задишку при фізичному навантаженні. ЕКГ: ознаки гіпертрофії лівого шлуночка, глибокий негативний зубець Т в V3-V6, депресія ST на 4 мм в V3-V6. ЕхоКГ: порожнина лівого шлуночка зменшена, міжшлуночкова перетинка потовщена (1,7	см), гіпокінетична.Який попередній діагноз?
A	* Гіпертрофічна кардіоміопатія.
B	Гіпертонічна хвороба.
C	Гострий інфаркт міокарда.
D	Атеросклероз аорти зі стенозом гирла .
E	 Ділятаційна кардіоміопатія.


 	504	У хворої 60 років, що протягом 20 років страждає на гіпертонічну хворобу, після стресової  ситуації раптово виник напад задишки. Об’єктивно: положення ортопное, Ps – 120 за 1	хв., АТ 210/120 мм рт. ст. I тон над верхівкою серця послаблений,  у діастолі вислуховується додатковий  тон ,ЧД – 32/хв. Дихання над нижніми відділами легень послаблене, поодинокі незвучні вологі дрібнопухирчасті хрипи. Яке ускладнення виникло у хворої?
A	* Гостра лівошлуночкова недостатність.
B	Напад істерії
C	Тромбоемболія гілок легеневої артерії
D	Пневмонія.
E	 Розшарування аорти


 	505	У чоловіка 57 років, що протягом 10 років страждає на стенокардію, раптово виник інтенсивний здавлюючий біль за грудиною. Після прийому 2 табл. нітрогліцерину біль зменшився, але не пройшов, через 30 хв. став нестерпним. Об’єктивно: блідість шкіри, гіпергідроз. Ps 100 за 1 хв., АТ 110/70 мм рт. ст. Над верхівкою послаблений I тон і неінтенсивний систолічний шум.
A	* Інфаркт міокарда.
B	Прогресуюча стенокардія.
C	Перикардіт.
D	 Розшарування аорти.
E	 Тромбоемболія гілок легеневої артерії


 	506	Чоловік 29 років, після фізичного навантаження відчув сильне серцебиття, запаморочення. При огляді лікарем констатовано: Ps – 200 за 1 хв., ритмічний, ниткоподібний. АТ 90/60 мм рт. ст. На ЕКГ: зубці Р не визначаються, R/R однакові та складають 0,3 сек., QRS – 0,08 сек. В відведеннях V4-V6 косовисхідна депресія сегменту ST. Який із препаратів в даному випадку є препаратом вибору?
A	 *Кордарон
B	Мезатон.
C	Хінідін.
D	Строфантин.
E	 Лідокаін


 	507	Жінка 64 років, з нестабільною стенокардією під час ходьби раптово впала. Черговим лікарем при огляді хворої констатована відсутність свідомості, пульсації на a.carotis та тонів серця; вузькі зіниці та рідке, поверхневе дихання. З чого в даному випадку необхідно  починати реанімаційні заходи?
A	*З удару кулаком по грудині
B	В/в введення адреналіну
C	В/в введення атропіну
D	 З проведення черезстравохідної кардиостимуляції
E	Інтубації та проведення ШВЛ


 	508	Жінка 30 років скаржиться на підвищення АТ, виражену слабкість, наявність судом, швидкозникаючі парези, серцебиття, запаморочення голови, головний біль. Хворіє на артеріальну гіпертензію протягом 3 років.  ЕКГ: синусова тахікардія, подовження інтервалу  Q/T, депресія ST в V1-V6, негативний зубець Т в V3-V6. Ан. сечі: реакція лужна, 1010, прозора, білку, цукру немає, сечовий осад – без змін. У крові рівень калію – 2,9 ммоль/л, натрію – 160 ммоль/л. Яка патологія найбільш вірогідно зумовила артеріальну гіпертензію?
A	* Синдром Кона.
B	Гіпертонічна хвороба II ст.
C	Гіпертонічна хвороба III ст.
D	Хвороба Іценко-Кушинга.
E	Хронічний пієлонефрит.


 	509	Хворий 35 років скаржиться на підвищення АТ, головний біль, шум в вухах, серцебиття. Об’єктивно: Ps – 100 за 1 хв., ритмічний, напружений. АТ – 240/100 мм рт. ст. Ліва межа відносної серцевої тупості зміщена вліво на  1см, I тон на верхівці ослаблений, акцент II тону на аорті. Вуслуховується грубий систолічний шум біль пупка з обох сторін. Яка патологія найбільш ймовірно зумовлює таку клінічну картину?
